월,건수,중앙값_만원,평균_만원,P25_만원,P75_만원
2023-01-01,139,26500.0,29009.45323741007,17850.0,36000.0
2023-02-01,145,26300.0,29942.827586206895,18000.0,39000.0
2023-03-01,186,26600.0,31406.989247311827,19500.0,39875.0
2023-04-01,173,30000.0,32552.017341040464,21000.0,40500.0
2023-05-01,192,30000.0,34593.098958333336,22000.0,41575.0
2023-06-01,184,27000.0,31313.440217391304,13941.25,43929.0
2023-07-01,184,30750.0,33692.336956521736,21000.0,43387.5
2023-08-01,224,32000.0,34354.66517857143,21300.0,46000.0
2023-09-01,174,29250.0,34215.833333333336,19500.0,45000.0
2023-10-01,202,31500.0,33781.29702970297,22800.0,43300.0
2023-11-01,210,26750.0,29578.32857142857,16000.0,38750.0
2023-12-01,179,29900.0,32445.575418994413,19742.5,43450.0
2024-01-01,226,29450.0,32430.694690265485,20350.0,41500.0
2024-02-01,189,28000.0,31975.767195767196,21500.0,41600.0
2024-03-01,195,30000.0,31565.82564102564,20750.0,41750.0
2024-04-01,191,30000.0,34889.58115183246,17500.0,46800.0
2024-05-01,169,28000.0,33216.44970414201,18700.0,44100.0
2024-06-01,200,34400.0,35011.105,22600.0,47500.0
2024-07-01,206,30500.0,33647.79126213592,21425.0,44000.0
2024-08-01,191,32500.0,36863.05759162304,22100.0,50000.0
2024-09-01,202,29600.0,32178.38613861386,20000.0,41875.0
2024-10-01,275,28100.0,31994.62181818182,13975.5,42350.0
2024-11-01,218,34175.0,35413.247706422015,22000.0,46000.0
2024-12-01,188,32000.0,34741.382978723406,21000.0,48400.0
2025-01-01,151,30500.0,33014.503311258275,21400.0,39500.0
2025-02-01,196,29850.0,33352.80612244898,20450.0,42575.0
2025-03-01,224,29500.0,33279.392857142855,19637.5,44525.0
2025-04-01,204,29000.0,33105.490196078434,17375.0,43625.0
2025-05-01,202,30450.0,33401.707920792076,19425.0,46225.0
2025-06-01,199,30000.0,35284.42211055276,20100.0,47250.0
2025-07-01,160,31950.0,34855.1875,19300.0,45050.0
2025-08-01,68,32000.0,32438.970588235294,19500.0,45975.0
