월,도시,평균_만원_per_㎡,건수
2023-01-01,서귀포시,392.35520059999305,43
2023-01-01,제주시,441.90540442308384,96
2023-02-01,서귀포시,401.3294063553258,46
2023-02-01,제주시,451.15796839496795,99
2023-03-01,서귀포시,401.2600352752314,67
2023-03-01,제주시,450.0007249529302,119
2023-04-01,서귀포시,362.33206319944264,35
2023-04-01,제주시,474.71963227712956,138
2023-05-01,서귀포시,390.9043765217692,52
2023-05-01,제주시,512.7370902500035,140
2023-06-01,서귀포시,438.1419616912353,47
2023-06-01,제주시,464.4351891591548,137
2023-07-01,서귀포시,413.07368613812116,52
2023-07-01,제주시,473.4141375809414,132
2023-08-01,서귀포시,413.10887779533056,61
2023-08-01,제주시,496.06255955194524,163
2023-09-01,서귀포시,409.25310352478914,43
2023-09-01,제주시,462.7029747522,131
2023-10-01,서귀포시,408.7084890901324,57
2023-10-01,제주시,459.69890862513324,145
2023-11-01,서귀포시,373.1422603087255,51
2023-11-01,제주시,463.7950146896283,159
2023-12-01,서귀포시,381.8114131610302,53
2023-12-01,제주시,491.36644152238614,126
2024-01-01,서귀포시,367.9198140144376,65
2024-01-01,제주시,473.2559404335438,161
2024-02-01,서귀포시,389.06159642062295,68
2024-02-01,제주시,490.08672770119483,121
2024-03-01,서귀포시,385.58971121062297,50
2024-03-01,제주시,442.2951160571249,145
2024-04-01,서귀포시,380.1671947531617,53
2024-04-01,제주시,512.5255505188022,138
2024-05-01,서귀포시,380.483103327464,58
2024-05-01,제주시,502.9152922607108,111
2024-06-01,서귀포시,439.03322867301364,73
2024-06-01,제주시,501.43414956561963,127
2024-07-01,서귀포시,372.5078915146902,66
2024-07-01,제주시,494.255274567629,140
2024-08-01,서귀포시,426.58306106224046,60
2024-08-01,제주시,502.67739344837855,131
2024-09-01,서귀포시,380.74887662233004,46
2024-09-01,제주시,442.1598106337945,156
2024-10-01,서귀포시,388.91723842216203,104
2024-10-01,제주시,491.60066299484106,171
2024-11-01,서귀포시,438.05177471372184,55
2024-11-01,제주시,498.4362739673132,163
2024-12-01,서귀포시,416.34619154625165,37
2024-12-01,제주시,497.76739386995894,151
2025-01-01,서귀포시,399.0099483370892,31
2025-01-01,제주시,446.10895193905225,120
2025-02-01,서귀포시,369.7704855277258,44
2025-02-01,제주시,454.94228401625077,152
2025-03-01,서귀포시,418.49214575018857,53
2025-03-01,제주시,491.0845987885213,171
2025-04-01,서귀포시,387.0863736754517,52
2025-04-01,제주시,481.3867316054986,152
2025-05-01,서귀포시,421.5844869656198,50
2025-05-01,제주시,483.1628554950663,152
2025-06-01,서귀포시,374.3630820342107,47
2025-06-01,제주시,510.03740284568323,152
2025-07-01,서귀포시,407.3222913716354,48
2025-07-01,제주시,507.70385438766306,112
2025-08-01,서귀포시,432.48399535649816,21
2025-08-01,제주시,504.356215007234,47
